id,name,likes,dislikes,DOB
0,Aaron,Scuba Diving,Cave Diving,11/11/1986
1,Richard,Casino Gambling,Planking,22/06/2008
2,Bobby,Jump Roping,Reading,30/12/1916
3,Lillian,Wingsuit Flying,Hiking,9/10/1993
4,Evelyn,Go Kart Racing,Baseball,4/11/1988
5,Edward,Chess,Gunsmithing,12/11/1915
6,Justin,Walking,Cooking,28/07/1937
7,Jeremy,BoardGames,Birding,25/06/1961
8,Timothy,Lacrosse,Canoeing,5/02/1997
9,Marie,Collecting RPM Records,Archery,10/08/1999
10,Mark,Texting,Pyrotechnics,4/03/1956
11,Rachel,Dumpster Diving,TV watching,28/12/1923
12,Carol,Camping,Airsofting,28/12/1952
13,Teresa,Slot Car Racing,Kite Boarding,21/08/1996
14,Albert,Writing Songs,Reading,1/12/1929
15,Louise,Pottery,Wrestling,8/01/1953
16,Joseph,Collecting Music Albums,Bonsai Tree,21/12/1929
17,Willie,Video Games,Writing,1/06/1916
18,Margaret,Pyrotechnics,Backgammon,12/01/1940
19,Jeremy,Railfans,Bonsai Tree,15/12/1957
20,Shawn,Frisbee Golf – Frolf,Collecting Music Albums,24/04/1958
21,Bruce,Piano,Grip Strength,19/03/2001
22,Christina,Ghost Hunting,Learning An Instrument,16/08/1934
23,Kathryn,Owning An Antique Car,YoYo,22/01/1967
24,Harry,Tea Tasting,Body Building,5/01/1970
25,Anne,Soccer,Protesting,18/02/1926
26,Katherine,Pyrotechnics,Knotting,7/11/1945
27,Jessica,Beadwork,Hot air ballooning,28/10/1940
28,Melissa,Lawn Darts,Amateur Astronomy,23/04/2004
29,Ruth,Beatboxing,Scrapbooking,14/11/1906
30,Thomas,String Figures,Letterboxing,26/11/1947
31,Rebecca,Button Collecting,Piano,4/09/1945
32,Kathryn,Kitchen Chemistry,Hunting,24/05/1911
33,Lawrence,Paragliding or Power Paragliding,Blacksmithing,25/05/1992
34,Gloria,Go Kart Racing,Working on cars,2/09/1927
35,Julia,Brewing Beer,Bonsai Tree,3/04/1933
36,Mark,Kitchen Chemistry,Building Dollhouses,3/04/1951
37,Julie,Modeling Ships,Self Defense,20/01/1931
38,Peter,Listening to music,Swimming,4/02/1923
39,Nicholas,Crafts,Cooking,26/12/1902
40,Marilyn,Papermache,Train Spotting,10/11/1929
41,Andrea,Rafting,Collecting RPM Records,4/10/2008
42,Joe,R/C Planes,Locksport,5/07/1997
43,Stephen,Drawing,Saltwater Aquariums,22/09/1939
44,Mildred,Electronics,Dancing,15/01/1964
45,Alan,Learning A Foreign Language,Handwriting Analysis,16/05/1918
46,Gregory,Amateur Astronomy,Renting movies,20/06/1954
47,Debra,Papermaking,Church/church activities,29/07/1901
48,Deborah,Fencing,Weightlifting,21/09/1937
49,Amy,Floral Arrangements,Glowsticking,26/04/1975
50,Kathleen,Dominoes,Papermaking,24/11/1943
51,Eugene,Spending time with family/kids,Collecting Swords,27/03/1919
52,Doris,Collecting Antiques,Ghost Hunting,28/06/1993
53,Samuel,Amateur Astronomy,Piano,25/01/2009
54,Earl,Relaxing,Tea Tasting,23/07/1920
55,Kevin,Electronics,Violin,5/07/1905
56,Theresa,Cigar Smoking,Beadwork,12/07/1976
57,Nancy,Planking,Protesting,5/02/1980
58,Theresa,Lawn Darts,Home Theater,21/02/1926
59,Susan,Cosplay,Going to movies,2/10/1936
60,Christine,Learning A Foreign Language,Sewing,29/06/1993
61,Theresa,Candle Making,Blacksmithing,21/05/1922
62,Bobby,Floral Arrangements,Mountain Climbing,28/06/1908
63,George,Archery,Metal Detecting,7/06/2003
64,Margaret,Sky Diving,Spelunkering,29/10/1946
65,Gary,Hiking,Learn to Play Poker,3/08/1996
66,Rebecca,Model Rockets,Sketching,22/10/1961
67,Judy,Dominoes,Iceskating,21/01/1928
68,Andrea,Beachcombing,Tool Collecting,18/07/1945
69,Randy,Collecting Hats,Golf,5/06/1964
70,Jean,Jump Roping,Tatting,15/10/1999
71,Frank,R/C Cars,Warhammer,11/03/1974
72,Steven,Iceskating,Tea Tasting,31/07/1935
73,Bonnie,Blogging,Texting,28/12/1920
74,Douglas,Weightlifting,Belly Dancing,12/01/1917
75,Brandon,Cloud Watching,Darts,21/04/1947
76,Emily,Rafting,Fire Poi,22/02/1960
77,Linda,Building Dollhouses,Protesting,28/11/1986
78,John,Jump Roping,Lawn Darts,29/03/1934
79,Matthew,Tetris,Spending time with family/kids,26/07/1987
80,Terry,Lacrosse,Gnoming,15/09/1998
81,Debra,Blacksmithing,BoardGames,24/08/1991
82,Catherine,Tetris,Taxidermy,2/01/1961
83,Katherine,Bridge Building,Rockets,3/01/1916
84,Melissa,Violin,Amateur Radio,3/08/1966
85,Diane,Grip Strength,Modeling Ships,18/05/1965
86,Antonio,Zumba,Bridge Building,15/03/1913
87,Jose,Renting movies,Lacrosse,14/07/1973
88,Fred,Piano,Collecting Hats,28/03/1986
89,Juan,Geocaching,Watching sporting events,26/02/2005
90,Jimmy,Wrestling,Bowling,10/04/1974
